battery_id,a_100,a_150,a_200,d1_100,d1_150,d1_200,d2_100,d2_150,d2_200,R100_100,R100_150,R100_200,R200_100,R200_150,R200_200,A_100,A_150,A_200,eol_cycle_100,eol_cycle_150,eol_cycle_200,a_relative_change_100_200,a_relative_change_150_200,d1_relative_change_100_200,d1_relative_change_150_200,d2_relative_change_100_200,d2_relative_change_150_200,R100_relative_change_100_200,R100_relative_change_150_200,R200_relative_change_100_200,R200_relative_change_150_200,A_relative_change_100_200,A_relative_change_150_200,eol_cycle_relative_change_100_200,eol_cycle_relative_change_150_200
1,1.0052263254982652,1.0055680625461023,1.0060130435292498,5.981284336951282e-18,1.2770964008245814e-15,3.726567773559597e-18,7.554365556985921e-06,0.0008407159806665778,0.0014681032741293404,1.5108731113977824e-05,0.0016814319613344328,0.0029362065482586848,3.0217462227949664e-05,0.0033628639226675884,0.005872413096517365,1.5108731113971842e-05,0.0016814319613331556,0.002936206548258681,,1563.699042,1184.59271,0.0007820157363215635,0.0004423212860008547,2.254716563391685e-12,1.2733698330510218e-09,0.9948543364148098,0.42734547665581296,0.9948543364148078,0.42734547665537875,0.9948543364148088,0.4273454766555958,0.9948543364148098,0.42734547665581296,,0.32003095139763277
3,0.9976780784622893,0.9978967126761887,0.9979037921299934,7.238565788517727e-09,6.013239057506214e-11,3.041181220839491e-22,0.00010921545605706488,0.0007218133840893208,0.0007439865941032677,0.00021843815067991827,0.0014436268283110321,0.0014879731882065355,0.000436869062794048,0.0028872535964896734,0.002975946376413071,0.00021843091211412976,0.0014436267681786415,0.0014879731882065355,4254.38575,1655.795979,1630.96448,0.00022618780435967325,7.094324984490809e-06,0.007238565788517423,6.013239057475802e-05,0.8532023870823868,0.029803238646621745,0.853197522367185,0.029803198234340744,0.8531999547247859,0.029803218440481317,0.8532023870823868,0.029803238646621745,1.608509138102137,0.015225039726186981
4,0.9999919185393567,0.999941327825582,1.0000067676368765,0.010338960676198107,0.010110058265653251,0.010397532520962332,0.0029422364250552674,0.003144763897205627,0.002899715124367346,0.01622343352630864,0.016399586060064506,0.016196962769697024,0.022107906376419177,0.022689113854475758,0.021996393018431717,0.005884472850110535,0.006289527794411254,0.005799430248734692,667.2705617,652.6620767,670.3554071,1.4848997027189147e-05,6.543936842459359e-05,0.0056332446805180195,0.027648315091057172,0.014663957962835612,0.08450787830123324,0.0016343037264456787,0.0125099559249819,0.0050696201824552735,0.031492474037156,0.014663957962835612,0.08450787830123324,0.004601805799322461,0.026393954926898413
6,0.9992643131569202,0.9992739869010178,0.999290902077371,1.272066171174927e-21,6.262745412741821e-08,5.715045781901452e-07,0.0013178512118129982,0.0013785870499912968,0.0014048124627837617,0.0026357024236259964,0.0027572367274367213,0.0028101964301457134,0.005271404847251993,0.0055144108274193145,0.005619821355713237,0.0026357024236259964,0.0027571740999825936,0.0028096249255675234,1229.650167,1202.284885,1191.042185,2.6607787978001684e-05,1.6927179381006596e-05,0.5715045781901439,0.508877124062727,0.06190239143980967,0.01866826604064778,0.0620931706580629,0.01884555191262771,0.06199779074952911,0.018756917991131515,0.06190239143980967,0.01866826604064778,0.03241529350196777,0.009439380184506239
7,0.9991789582482751,0.9996126547355764,0.9999842030520363,3.134425838786809e-08,9.908219856255811e-12,2.362697053671679e-09,0.0008410143785992758,0.001973520932147379,0.002471059306981637,0.0016820601014569394,0.003947041874202978,0.004942120976660328,0.003364088858655491,0.007894083738497737,0.009884239590623602,0.0016820287571985516,0.003947041864294758,0.004942118613963274,1538.932218,1005.710922,899.6140682,0.0008052575243724169,0.00037155418588205325,0.02898156133419641,0.002352788833815423,0.6596543125358806,0.20134618923492928,0.659648132977594,0.201346569045297,0.6596512227559986,0.20134637914015854,0.6596543125358806,0.20134618923492928,0.7106582393483294,0.11793596559943165
8,0.9998533513595066,1.000162414887503,1.000283367892493,1.1106758672229054e-10,2.5090328009680363e-09,6.516065541681806e-10,0.0036765539206342767,0.004521155258992163,0.004703708935309259,0.00735310795233614,0.009042313027017126,0.009407418522225071,0.014706215793604694,0.01808462354500145,0.01881483639284359,0.007353107841268553,0.009042310517984325,0.009407417870618518,737.284743,665.375089,652.5326072,0.000429894714627077,0.00012091874050127336,0.0005405389674458901,0.0018574262467998559,0.21837129567360208,0.03881058093257503,0.21837133800687328,0.038810380801638796,0.21837131684023836,0.038810480867103446,0.21837129567360208,0.03881058093257503,0.1298818401790972,0.019680980932288917
12,0.9996320111979086,0.9996954991650295,0.9997229397999289,1.549686478945446e-09,0.0008007174367719277,0.0009718167578682793,0.002041778628426504,0.0010199019334947278,0.0008606643009454623,0.004083558806539487,0.0028405213037613836,0.002693145359759204,0.008167116063392495,0.004880325170750839,0.004414473961650128,0.004083557256853008,0.0020398038669894557,0.0017213286018909245,988.8052134,1360.576856,1467.929297,9.095380169880852e-05,2.7448239714131803e-05,0.9999984053717262,0.1760612993252608,1.3723287072364416,0.1850171226741238,0.5162786485853111,0.054722610299563164,0.8500768459260843,0.10552813611490335,1.3723287072364416,0.1850171226741238,0.32639452361853094,0.0731318880407903
13,0.9997253852857007,0.9996447353338836,0.9997499549968922,1.0766152587898849e-13,8.051151814306913e-13,0.0005019737093446061,0.0015264831980960566,0.0012877334915612955,0.0008856471610383403,0.003052966396299775,0.002575466983927706,0.0022732680314212867,0.006105932792491888,0.005150933967050297,0.004044562353497967,0.0030529663961921132,0.002575466983122591,0.0017712943220766805,1143.854064,1245.133551,1473.731023,2.457585626163523e-05,0.0001052459792397883,0.9999999997855237,0.9999999983961009,0.7235793951017635,0.454002844712499,0.3429856726533946,0.13293590915343106,0.5096646457214662,0.2735454461705795,0.7235793951017635,0.454002844712499,0.22383796897244249,0.1551147858275086
15,0.9997622607572957,0.9997185926364038,0.9996900276190905,1.649105953235948e-12,2.5439362570987514e-10,7.211181151778614e-05,0.0017618542642960932,0.0016252885797798484,0.0014926697348699525,0.0035237085302412922,0.0032505774139533223,0.0030574512812576913,0.007047417058833479,0.0065011545735130195,0.006042790750997596,0.0035237085285921865,0.0032505771595596968,0.002985339469739905,1064.809044,1108.521201,1154.221977,7.225553542549638e-05,2.857387442518524e-05,0.9999999771312643,0.9999964722336,0.18033763473444658,0.08884674339662295,0.15249866836530743,0.06316572691754815,0.16625204301009944,0.07585300259482806,0.18033763473444658,0.08884674339662295,0.07746597689328164,0.03959444275942764
17,0.9996941861468313,0.9996534551807001,0.9996238571307028,2.518176104679534e-10,5.018922199630401e-10,2.4693876133655967e-07,0.0007217729951725157,0.0006080773947630953,0.0005695649953694574,0.0014435462421626417,0.0012161552914184107,0.0011393769295002514,0.0028870922325076732,0.0024323100809446013,0.002278506920239166,0.0014435459903450313,0.0012161547895261906,0.0011391299907389147,1663.345208,1812.003265,1872.102173,7.035547984052554e-05,2.9609187282020974e-05,0.2466869437260917,0.24643686911659662,0.2672355236724584,0.06761721613291256,0.2669610949519609,0.06738627045207549,0.2670982944412678,0.06750173077784247,0.2672355236724584,0.06761721613291256,0.1115093866193595,0.03210236538729766
