battery_id,cycle,capacity_raw,SOH_raw,SOH_smooth_official,chargetime,IR_raw,Tavg,policy,global_id,dataset_id,local_id,policy_summary,C1,Q1,C2,initial_capacity,prediction_test,strategy,flag_soh_capacity_outlier,flag_ir_invalid,flag_temperature_invalid,flag_chargetime_invalid,SOH_clean,capacity_clean,IR_clean,SOH_smooth_robust
1,1,1.0706892,1,1.000377109,13.34125,0.016742354,31.87501078,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1,1.0706892,0.016742354,1.001388162
1,2,1.0706892,1,1.000707862,13.34125,0.016742354,31.87501078,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1,1.0706892,0.016742354,1.001615224
1,3,1.0719005,1.001131327,1.001030439,13.42577667,0.016724309,31.93149033,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.001131327,1.0719005,0.016724309,1.001840415
1,4,1.0725095,1.00170012,1.001569699,13.42516667,0.016681245,31.93260348,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.00170012,1.0725095,0.016681245,1.002063578
1,5,1.073174,1.002320748,1.002186592,13.34144167,0.016661867,31.95932156,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.002320748,1.073174,0.016661867,1.002284759
1,6,1.0735761,1.002696301,1.002648649,13.340835,0.016623382,31.96106185,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.002696301,1.0735761,0.016623382,1.002504342
1,7,1.0739917,1.003084462,1.003019009,13.34019833,0.016599579,31.9005621,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.003084462,1.0739917,0.016599579,1.002722809
1,8,1.0743741,1.003441615,1.003273667,13.42544167,0.016576905,31.92166785,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.003441615,1.0743741,0.016576905,1.002940595
1,9,1.0744922,1.003551918,1.003498812,13.42519,0.016588196,31.87008232,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.003551918,1.0744922,0.016588196,1.003158069
1,10,1.0745373,1.00359404,1.090370464,13.42563333,0.016572181,31.84105268,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.00359404,1.0745373,0.016572181,1.003375568
1,11,1.0747814,1.003822024,1.09026825,13.34099667,0.016564831,31.81138173,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.003822024,1.0747814,0.016564831,1.003593349
1,12,1.5390544,1.437442724,1.090373602,13.34127333,0.018950272,30.28257943,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,True,False,False,False,1.003376283,1.07430415,0.018950272,1.003811472
1,13,1.0738269,1.002930542,1.090103645,13.34190667,0.016629694,31.54120747,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.002930542,1.0738269,0.016629694,1.00402897
1,14,1.0750562,1.004078681,1.090301481,13.42595167,0.016623681,31.55448747,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.004078681,1.0750562,0.016623681,1.004222754
1,15,1.0730921,1.002244255,1.00313344,13.42536833,0.016606225,31.60416724,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.002244255,1.0730921,0.016606225,1.004403035
1,16,1.0758405,1.0048112,1.003576687,13.34123833,0.016644137,31.62664069,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.0048112,1.0758405,0.016644137,1.004565905
1,17,1.072405,1.001602519,1.003787934,13.46115833,0.016638549,31.566725,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.001602519,1.072405,0.016638549,1.004712708
1,18,1.0761998,1.005146778,1.00441114,13.42895,0.016635945,31.6109886,3_6C-80PER_3_6C,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,0,3_6C-80PER_3_6C,False,False,False,False,1.005146778,1.0761998,0.016635945,1.004846623
