C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,sensitivity_p
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,1,True,True,True,True,9.817114140369906,0.432879390839616,0.9867286802872021,0.0019084585792392866,-0.00765492199764254,0.0009859120081669628,0.00765492199764254,0.0009859120081669628,1204.2529308546302,55.79185813018216,2.0,25.297187500000003,1,2.0
5.0,24.0,5.0,2.88,6.720000000000001,9.600000000000001,-3.8400000000000007,0.38828204356554963,2,True,True,True,True,9.823707546963314,0.432879390839616,0.9889908471616224,0.0013971623952684985,-0.006417407925736078,0.0007294262579887121,0.006417407925736078,0.0007294262579887121,1245.4498257031291,50.92179569311701,2.0,25.0,2,2.0
5.1,61.0,4.65,7.176470588235295,2.4516129032258065,9.628083491461101,4.724857685009489,0.3580228565826378,5,True,True,True,True,9.851791038424414,0.432879390839616,0.9892103750345185,0.0013518918161924615,-0.006296593179345398,0.0007065940627741527,0.006296593179345398,0.0007065940627741527,1249.9733728349233,50.456931786625844,2.0,24.967968749999997,3,2.0
4.95,25.0,5.0,3.0303030303030303,6.6,9.630303030303029,-3.5696969696969694,0.4135603454362771,2,True,True,True,True,9.854010577266342,0.432879390839616,0.9900161908055041,0.0011933515807112359,-0.005851908027941473,0.0006264672784031289,0.005851908027941473,0.0006264672784031289,1267.5597648143842,48.81182801806677,2.0,24.84453125,4,2.0
4.95,26.0,5.0,3.151515151515152,6.480000000000001,9.631515151515153,-3.3284848484848495,0.41776290382319564,2,True,True,True,True,9.855222698478466,0.432879390839616,0.9900551561760312,0.0011860054974907666,-0.005830355090121471,0.0006227482277238782,0.005830355090121471,0.0006227482277238782,1268.4522805717302,48.735716500157594,2.0,24.8383125,5,2.0
4.95,27.0,5.0,3.2727272727272734,6.36,9.632727272727273,-3.087272727272727,0.4225600764699244,2,True,True,True,True,9.856434819690586,0.432879390839616,0.9900939694703246,0.0011787187392467936,-0.005808881533099378,0.0006190586625386756,0.005808881533099378,0.0006190586625386756,1269.3454247683808,48.66030589397634,2.0,24.83209375,6,2.0
4.95,28.0,5.0,3.393939393939394,6.24,9.633939393939395,-2.846060606060606,0.4279318667309225,2,True,True,True,True,9.857646940902708,0.432879390839616,0.9901326312819159,0.0011714910122763095,-0.005787487064510867,0.000615398448630081,0.005787487064510867,0.000615398448630081,1270.2391978468324,48.58560345728947,2.0,24.825875,7,2.0
4.95,29.0,5.0,3.5151515151515147,6.12,9.635151515151515,-2.6048484848484854,0.43385693128428826,2,True,True,True,True,9.858859062114828,0.432879390839616,0.9901711422020204,0.0011643220236884702,-0.005766171393068322,0.0006117674520802603,0.005766171393068322,0.0006117674520802603,1271.133600249895,48.51161647357518,2.0,24.819656249999998,8,2.0
4.95,30.0,5.0,3.6363636363636362,6.0,9.636363636363637,-2.3636363636363638,0.4403129353142958,2,True,True,True,True,9.86007118332695,0.432879390839616,0.9902095028195458,0.001157211481384268,-0.005744934228557031,0.0006081655392605772,0.005744934228557031,0.0006081655392605772,1272.0286324206895,48.43835225115931,2.0,24.8134375,9,2.0
5.05,24.0,4.95,2.8514851485148514,6.787878787878788,9.63936393639364,-3.9363936393639367,0.35277068455549887,2,True,True,True,True,9.863071483356952,0.432879390839616,0.9902766083787837,0.0011448464124135564,-0.005707772017084793,0.0006019006708373261,0.005707772017084793,0.0006019006708373261,1273.6043388174037,48.311271353156805,2.0,24.8025,10,2.0
5.05,63.0,4.7,7.485148514851485,2.170212765957447,9.655361280808933,5.314935748894038,0.3126505976826482,5,True,True,True,True,9.879068827772246,0.432879390839616,0.9904292108299783,0.0011170808738557758,-0.005623208658218309,0.0005878273994800106,0.005623208658218309,0.0005878273994800106,1277.2358749011394,48.02777439555641,2.0,24.77734375,11,2.0
5.0,32.0,4.95,3.84,5.8181818181818175,9.658181818181816,-1.9781818181818176,0.42317184229305194,2,True,True,True,True,9.88188936514513,0.432879390839616,0.9908749499734183,0.0010388872413847165,-0.005375765425700016,0.0005481535462769407,0.005375765425700016,0.0005481535462769407,1288.2474088067597,47.25164397852986,2.0,24.7015,12,2.0
5.0,31.0,4.95,3.72,5.939393939393939,9.659393939393938,-2.2193939393939384,0.4151575412826992,2,True,True,True,True,9.883101486357251,0.432879390839616,0.9909105637304961,0.0010328325831815688,-0.0053559661504206015,0.0005450791433511601,0.0053559661504206015,0.0005450791433511601,1289.15449117371,47.193526861524376,2.0,24.69528125,13,2.0
5.0,30.0,4.95,3.6,6.0606060606060606,9.66060606060606,-2.4606060606060605,0.40764525016263903,2,True,True,True,True,9.884313607569373,0.432879390839616,0.9909460384922052,0.001026830664140519,-0.005336239797091913,0.0005420311962911234,0.005336239797091913,0.0005420311962911234,1290.0622122366253,47.136282375166104,2.0,24.6890625,14,2.0
5.0,29.0,4.95,3.4799999999999995,6.181818181818182,9.66181818181818,-2.701818181818182,0.4006632074429707,2,True,True,True,True,9.885525728781493,0.432879390839616,0.9909813748010244,0.0010208812041004479,-0.005316586097137941,0.0005390095751438832,0.005316586097137941,0.0005390095751438832,1290.9705724452228,47.079918111405114,2.0,24.68284375,15,2.0
5.0,28.0,4.95,3.3600000000000003,6.303030303030304,9.663030303030304,-2.9430303030303033,0.3942395864685348,2,True,True,True,True,9.886737849993617,0.432879390839616,0.9910165731973155,0.0010149839232514557,-0.005297004782971831,0.000536014150019505,0.005297004782971831,0.000536014150019505,1291.8795722495395,47.02444166229523,2.0,24.676625,16,2.0
5.0,27.0,4.95,3.2400000000000007,6.424242424242424,9.664242424242424,-3.184242424242423,0.38840209474375603,2,True,True,True,True,9.887949971205737,0.432879390839616,0.9910516342193313,0.0010091385421161926,-0.005277495587992238,0.0005330447910811985,0.005277495587992238,0.0005330447910811985,1292.7892120999295,46.969860618606276,2.0,24.67040625,17,2.0
5.0,26.0,4.95,3.12,6.545454545454547,9.665454545454548,-3.4254545454545466,0.3831775212429063,2,True,True,True,True,9.88916209241786,0.432879390839616,0.9910865584032238,0.0010033447815313975,-0.005258058246579792,0.0005301013685357573,0.005258058246579792,0.0005301013685357573,1293.6994924470605,46.91618256839666,2.0,24.6641875,18,2.0
