C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,normalized_time,normalized_degradation,distance_to_ideal,recommendation_type,bootstrap_iteration
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.955733125794113,0.4300927354070567,0.9914538811139183,0.0005511499330696092,-0.005033531551712727,0.00024261533445113102,0.005033531551712727,0.00024261533445113102,1277.2609802472793,36.23679755173564,2.0,24.356500000000004,39,0.14278411684162634,0.5364776059822104,0.5551536055387256,fast_charge,0
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.125293403513448,0.4300927354070567,0.9949153125305018,0.00033563388260673277,-0.003084778839390759,0.00015218441826096157,0.003084778839390759,0.00015218441826096157,1398.5407506478007,40.61121603469099,2.0,23.522499999999994,120,0.3235400678502031,0.29305230842537056,0.43652930139677054,knee,0
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.307333555439653,0.4300927354070567,0.9969872141064268,0.000274223760590973,-0.001883154986933447,0.00012810541874644113,0.001883154986933447,0.00012810541874644113,1532.4402472229644,61.36061424481902,2.0,22.681874999999998,237,0.5175999103189269,0.1429534056829633,0.5369779728801909,longevity,0
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.784850106401205,0.035921446716231445,0.9935514236257977,0.0004676841731706693,-0.003934776280991358,0.00028660762334949407,0.003934776280991358,0.00028660762334949407,1388.4321600869528,43.56687284475279,2.0,24.356500000000004,39,0.14278411684162634,0.5109738263935584,0.5305483533868686,fast_charge,1
4.85,58.0,4.9,7.175257731958763,2.6938775510204076,9.86913528297917,4.4813801809383556,0.36542463657722224,5,True,True,True,True,9.926638450604864,0.035921446716231445,0.9960464707591128,0.00037882075424697264,-0.002497034252699464,0.00024029911787381916,0.002497034252699464,0.00024029911787381916,1510.7731866309396,62.63123501407384,2.0,23.6565625,108,0.2939344177445688,0.2989021269608983,0.4192134580814262,knee,1
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.136450536046745,0.035921446716231445,0.9979996745961593,0.0003060390548541132,-0.0013255772182011372,0.00020368549402409046,0.0013255772182011372,0.00020368549402409046,1699.2995379357626,112.48355638913074,2.0,22.681874999999998,237,0.5175999103189269,0.12610834391099005,0.5327410079636574,longevity,1
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.956550035028068,0.42962220470592183,0.9920332890151495,0.00012069030786787208,-0.004827718366518584,0.00011077969465005458,0.004827718366518584,0.00011077969465005458,1283.8162590760205,33.94328632341783,2.0,24.356500000000004,39,0.14278411684162634,0.531233917996433,0.5500879744659796,fast_charge,2
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.126110312747402,0.42962220470592183,0.9953454075828846,7.160582360003324e-05,-0.0029273064162652187,6.821184165902014e-05,0.0029273064162652187,6.821184165902014e-05,1407.179300078039,37.781031216147234,2.0,23.522499999999994,120,0.3235400678502031,0.2878572632170389,0.43305886377179453,knee,2
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.308150464673608,0.42962220470592183,0.9972921149348236,5.721955204670818e-05,-0.001767943969334348,5.658582179086259e-05,0.001767943969334348,5.658582179086259e-05,1543.5209599151437,56.92256226971643,2.0,22.681874999999998,237,0.5175999103189269,0.1393832684217156,0.5360385831990839,longevity,2
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.800506668515398,0.042187822606017264,0.99326875739062,0.00044719972696728174,-0.004115894212422742,0.00026781594923902443,0.004115894212422742,0.00026781594923902443,1384.542770425473,48.11629659426799,2.0,24.356500000000004,39,0.14278411684162634,0.511704124467384,0.5312517435445979,fast_charge,3
