C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,delta_time_from_previous,degradation_reduction_from_previous,EOL_gain_from_previous,degradation_reduction_per_added_minute,EOL_gain_per_added_minute
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,1,True,True,True,True,9.817114140369906,0.432879390839616,0.9867286802872021,0.0019084585792392866,-0.00765492199764254,0.0009859120081669628,0.00765492199764254,0.0009859120081669628,1204.2529308546302,55.79185813018216,2.0,25.297187500000003,1,,,,,
5.0,24.0,5.0,2.88,6.720000000000001,9.600000000000001,-3.8400000000000007,0.38828204356554963,2,True,True,True,True,9.823707546963314,0.432879390839616,0.9889908471616224,0.0013971623952684985,-0.006417407925736078,0.0007294262579887121,0.006417407925736078,0.0007294262579887121,1245.4498257031291,50.92179569311701,2.0,25.0,2,0.006593406593408346,0.001237514071906462,41.196894848498914,0.18768963423909685,6248.195718687341
5.1,61.0,4.65,7.176470588235295,2.4516129032258065,9.628083491461101,4.724857685009489,0.3580228565826378,5,True,True,True,True,9.851791038424414,0.432879390839616,0.9892103750345185,0.0013518918161924615,-0.006296593179345398,0.0007065940627741527,0.006296593179345398,0.0007065940627741527,1249.9733728349233,50.456931786625844,2.0,24.967968749999997,3,0.028083491461099896,0.00012081474639067964,4.523547131794203,0.004301984550533087,161.0749553010542
4.95,25.0,5.0,3.0303030303030303,6.6,9.630303030303029,-3.5696969696969694,0.4135603454362771,2,True,True,True,True,9.854010577266342,0.432879390839616,0.9900161908055041,0.0011933515807112359,-0.005851908027941473,0.0006264672784031289,0.005851908027941473,0.0006264672784031289,1267.5597648143842,48.81182801806677,2.0,24.84453125,4,0.002219538841927715,0.0004446851514039252,17.586391979460814,0.20035024528685744,7923.444116971015
4.95,26.0,5.0,3.151515151515152,6.480000000000001,9.631515151515153,-3.3284848484848495,0.41776290382319564,2,True,True,True,True,9.855222698478466,0.432879390839616,0.9900551561760312,0.0011860054974907666,-0.005830355090121471,0.0006227482277238782,0.005830355090121471,0.0006227482277238782,1268.4522805717302,48.735716500157594,2.0,24.8383125,5,0.0012121212121236624,2.1552937820002414e-05,0.8925157573460183,0.017781173701466046,736.3254998089766
4.95,27.0,5.0,3.2727272727272734,6.36,9.632727272727273,-3.087272727272727,0.4225600764699244,2,True,True,True,True,9.856434819690586,0.432879390839616,0.9900939694703246,0.0011787187392467936,-0.005808881533099378,0.0006190586625386756,0.005808881533099378,0.0006190586625386756,1269.3454247683808,48.66030589397634,2.0,24.83209375,6,0.0012121212121201097,2.1473557022092665e-05,0.89314419665061,0.01771568454324256,736.8439622374234
4.95,28.0,5.0,3.393939393939394,6.24,9.633939393939395,-2.846060606060606,0.4279318667309225,2,True,True,True,True,9.857646940902708,0.432879390839616,0.9901326312819159,0.0011714910122763095,-0.005787487064510867,0.000615398448630081,0.005787487064510867,0.000615398448630081,1270.2391978468324,48.58560345728947,2.0,24.825875,7,0.001212121212121886,2.1394468588510976e-05,0.8937730784516589,0.017650436585511742,737.3627897222086
4.95,29.0,5.0,3.5151515151515147,6.12,9.635151515151515,-2.6048484848484854,0.43385693128428826,2,True,True,True,True,9.858859062114828,0.432879390839616,0.9901711422020204,0.0011643220236884702,-0.005766171393068322,0.0006117674520802603,0.005766171393068322,0.0006117674520802603,1271.133600249895,48.51161647357518,2.0,24.819656249999998,8,0.0012121212121201097,2.1315671442544842e-05,0.894402403062486,0.01758542894011549,737.881982527222
4.95,30.0,5.0,3.6363636363636362,6.0,9.636363636363637,-2.3636363636363638,0.4403129353142958,2,True,True,True,True,9.86007118332695,0.432879390839616,0.9902095028195458,0.001157211481384268,-0.005744934228557031,0.0006081655392605772,0.005744934228557031,0.0006081655392605772,1272.0286324206895,48.43835225115931,2.0,24.8134375,9,0.001212121212121886,2.1237164511291214e-05,0.8950321707945932,0.017520660721805508,738.4015409051289
5.05,24.0,4.95,2.8514851485148514,6.787878787878788,9.63936393639364,-3.9363936393639367,0.35277068455549887,2,True,True,True,True,9.863071483356952,0.432879390839616,0.9902766083787837,0.0011448464124135564,-0.005707772017084793,0.0006019006708373261,0.005707772017084793,0.0006019006708373261,1273.6043388174037,48.311271353156805,2.0,24.8025,10,0.003000300030002734,3.7162211472238464e-05,1.5757063967141676,0.01238616508369818,525.1829420248787
