battery_id,strategy,strategy_code,dataset_id,prediction_test,SOH_50,SOH_100,SOH_150,slope_1_50,slope_50_100,slope_100_150,slope_50_150,curvature,noise_mad,IR_mean,IR_slope,Tavg_mean,Tavg_slope,chargetime_mean,chargetime_slope
1,3_6C-80PER_3_6C,S1,1,0,1.005620821,1.004819909,1.003388086,0.006312742857142848,-0.00200295238095177,-0.0030305666666619047,-0.0022366564516126865,-0.00899851727135511,0.00011623509869998906,0.01666451266,0.00010634157303370941,31.58253669119999,-0.0733687837837839,13.3825981554,-0.0
2,3_6C-80PER_3_6C,S1,1,1,0.9973669588,0.996430516,0.9952323908,0.005813560909090859,-0.001969645365853751,-0.0023504905714287283,-0.002066487255291038,-0.007565721768735461,8.130593225993062e-05,0.01695187493,0.00011553454545454311,31.28961933566667,-0.15121515652173934,13.378601577866666,-0.0
3,3_6C-80PER_3_6C,S1,1,0,0.9979830758,0.9972266687,0.9961013776,0.005687964545454797,-0.0016549437931034148,-0.0021149207692307305,-0.0019447820300752196,-0.007386734465608973,9.432531003000547e-05,0.016803548896666666,0.00013659090909091007,31.4404812366,-0.1441577199999955,13.376288766466665,3.5531914885544387e-06
4,80PER_3_6C,S2,2,0,0.9940997529,0.9867488429,0.9778120229,-0.01174974948717937,-0.014576038372093094,-0.01773264500000026,-0.016066090000000408,-0.005851925603181238,0.0006116650142399745,0.01717739734,0.00017572333333333578,31.923758358066667,0.06914864705882061,13.3834935442,-0.0005074464285706856
5,80PER_3_6C,S2,2,1,0.9993550281,0.9982711367,0.9962414763,0.0026836350000003506,-0.0021993965517240715,-0.004146277837837788,-0.0029739426611635014,-0.007191064252215792,0.0004241612594098804,0.01729883692,0.00011315000000000168,32.0551944942,-0.08040360000002522,13.3825759,-6.741573033652236e-05
6,80PER_3_6C,S2,2,0,0.9990764554,0.9979538121,0.9961663389,0.001177346666667023,-0.0024507868000003263,-0.0035399845238095894,-0.0027875741258741693,-0.004461763678929767,0.0004279250619000371,0.017132980786666665,0.00013595238095238035,32.515599027,-0.12742948076922728,13.377512410866668,9.677419354854357e-05
7,4_8C_80PER_4_8C,S3,2,0,0.9994142613,0.9977931735,0.9946399239,0.00524257636363653,-0.0031322568888889376,-0.006089525999999346,-0.004687338392156796,-0.011160209390007865,0.0002066908227299738,0.017141657399999996,0.00011768189655172616,30.086063590266676,-0.009913428571428946,10.051275510866665,0.00035177777779122406
8,4_8C_80PER_4_8C,S3,2,0,0.9992334447,0.9957745271,0.9896091482,0.0018446041463415234,-0.0066669527586210395,-0.012539849285714277,-0.009600440767045618,-0.014255073153472988,0.00011809546517993162,0.01716954795333333,-9.9502884615386e-05,29.6757483718,-0.813836603174603,10.063943788666668,0.02269718309859044
9,4_8C_80PER_4_8C,S3,2,1,0.9991187949,0.9951514468,0.9889736927,0.001936092500001707,-0.007870192500000003,-0.012343972857142838,-0.01036196660134391,-0.014279959447054383,0.00018820183703999614,0.017545285180000002,-0.0001520918699186987,31.728171842400002,0.25938319780219665,10.0469902334,0.008432481012659088
10,5C_67PER_4C_NEWSTRUCTURE,S4,3,1,0.9994745788,0.9982306676,0.9971822861,0.002850203333334041,-0.002412285000000236,-0.002344061111111036,-0.0023402507179489007,-0.004972536791680811,0.00010801986384006236,0.01523868756,5.71458333333409e-06,32.282940104400005,0.2996357846153877,10.0424810328,-0.0004576271186433024
