battery_id,strategy,dataset_id,prediction_test,C1,Q1,C2,initial_capacity,IR0,IR_mean_1_50,IR_delta_early,IR_slope_1_50_per100,Tavg0,Tavg_mean_1_50,Tavg_delta_early,Tavg_slope_1_50_per100,chargetime0,chargetime_mean_1_50,chargetime_delta_early,chargetime_slope_1_50_per100
1,3_6C-80PER_3_6C,1,0,3.6,80.0,3.6,1.0706892,0.0166426245,0.0166591054,-3.0360499999999846e-05,-5.1115151515150735e-05,31.911114974999997,31.616020144999997,-0.30205955499999604,-0.4553981904761951,13.383304169999999,13.3839792336,-0.0006783399999985562,0.0009090909090887903
2,3_6C-80PER_3_6C,1,1,3.6,80.0,3.6,1.0845895,0.016894932,0.01690324779,1.0287999999997188e-05,7.200606060606087e-05,31.7134968,31.378528964399997,-0.45666559500000403,-0.9923704285714254,13.42605667,13.387057800400001,-0.0424658400000002,-0.0007219999999937461
3,3_6C-80PER_3_6C,1,0,3.6,80.0,3.6,1.0880535,0.016708031999999998,0.01674246159,4.093900000000372e-05,0.00013964761904763394,31.880072285,31.526384621000002,-0.47590755999999956,-1.0712727777777729,13.34142167,13.378518766799997,0.00010332999999995707,-0.0001818181818166815
4,80PER_3_6C,2,0,,80.0,3.6,1.024101,0.017004166,0.017075093319999998,8.729550000000086e-05,0.00033602105263158105,32.081710685000004,31.8910240958,-0.03016715500000089,-0.7311203999999805,13.4257225,13.393139633199999,-0.02716916499999833,0.0008125000000025473
5,80PER_3_6C,2,1,,80.0,3.6,1.0322267,0.0172191665,0.017240282519999997,8.206899999999712e-05,0.00029107692307692916,32.33646209,32.097549564,-0.3039236549999984,-1.0544919999999771,13.425880835000001,13.382036000200001,-0.08432500000000154,-0.0004999999999958742
6,80PER_3_6C,2,0,,80.0,3.6,1.0364138,0.016955936499999998,0.0170657419,0.00015227100000000243,0.00045118749999999846,32.82010905,32.592820388,-0.2503983949999977,-0.9278664583333077,13.34169,13.3769153002,-0.0001833349999991185,9.80588235342887e-05
7,4_8C_80PER_4_8C,2,0,4.8,80.0,4.8,1.0734261,0.017259342499999997,0.0170860938,-0.00016389899999999513,-0.00014082608695652259,30.077418780000002,30.121281660999998,0.026503155000000334,-0.31661652380952615,10.050365,10.0538488994,9.833500000056006e-05,-0.0002027027026998298
8,4_8C_80PER_4_8C,2,0,4.8,80.0,4.8,1.0721645,0.0175116185,0.01725345448,-0.0003567930000000011,-0.0006017800000000002,30.880048115,30.306248893000003,-1.4249235600000034,-2.534568833333329,10.0083275,10.0491569334,0.04213666500000102,0.00010257692307865578
9,4_8C_80PER_4_8C,2,1,4.8,80.0,4.8,1.0825263,0.017855487,0.01763955872,-0.0003234990000000014,-0.0007208741935483851,31.61288749,31.6173555914,0.10539513000000156,0.25122380434782066,10.008543335,10.040495333399999,-0.00023083500000176116,-9.22222222538633e-06
10,5C_67PER_4C_NEWSTRUCTURE,3,1,5.0,67.0,4.0,1.0713712,0.0153054935,0.015244430440000001,-6.639449999999887e-05,-0.00014430000000002774,32.07890831,32.1159220186,0.05599841499999769,0.22740069999997561,10.042445,10.0428893326,0.00016332999999946196,0.0011274705882325473
11,5_3C_54PER_4C_NEWSTRUCTURE,3,1,5.3,54.0,4.0,1.0687399,0.015053817,0.014982224379999997,-6.96020000000002e-05,-1.3212500000006101e-05,34.619619645,34.7064281402,0.1344877399999973,0.3933969230769317,10.041541665,10.0414249004,0.0001658350000006692,3.966666666667065e-05
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,0,5.6,19.0,4.6,1.0632137,0.014769454500000001,0.01465480806,-0.00013130250000000128,-0.0002962181818181858,36.142940155000005,36.551433501,0.6551372149999963,1.3951034374999782,10.043783335,10.0435820004,-0.0002841700000004721,-0.00022549999999575769
